#timestep	summed_sq_end_to_end_distance	summed_sq_distance_of_cm	summed_auto_corr_ee_vector
0	2401	4.437342592e-31	2401
100	2385.537372	0.2316276564	2392.478123
200	2184.636191	0.3108698408	2289.428661
300	1900.370927	0.502371517	2135.035034
400	1760.60694	0.4918569404	2049.795513
500	1843.523571	0.7234315726	2102.80439
600	1869.137674	0.9218208146	2115.435146
700	1961.145548	0.654699481	2167.724007
800	1899.63176	0.66971813	2133.50528
900	1992.979862	1.230329536	2178.9123
1000	2057.250637	1.464585997	2220.706528
1100	2113.978603	1.91758457	2252.186314
1200	2090.564677	1.490093702	2235.582195
1300	1968.935412	2.416979866	2168.471313
1400	2252.351052	1.544362805	2316.591713
1500	2139.594255	1.833012792	2261.280167
1600	2324.861231	1.556409557	2359.703728
1700	2309.358185	1.530445776	2346.268654
1800	2051.502266	1.706094682	2212.148201
1900	2136.641834	1.458588258	2260.490055
2000	2091.377189	2.126305821	2236.762035
2100	2025.59226	1.777317454	2198.681351
2200	2062.824585	2.442061647	2220.241096
2300	2087.696299	3.811192563	2234.522919
2400	2059.51423	3.336925315	2212.201286
2500	2081.60735	3.575970617	2227.692669
2600	2077.514904	4.409709173	2230.643951
2700	1810.362612	3.970472909	2080.334717
2800	1687.388828	4.610314683	1999.677917
2900	1465.041453	4.922655059	1868.03154
3000	1404.118219	6.853149053	1828.824474
3100	1534.291834	6.527295048	1916.448536
3200	1743.045885	6.823342528	2043.131248
3300	1969.266016	7.380061882	2174.44416
3400	1958.250445	9.945713508	2167.381008
3500	1953.184287	9.926793344	2162.707817
3600	1948.111441	10.14497829	2161.352646
3700	2101.309372	9.92287081	2245.714577
3800	2074.750614	10.79480915	2229.554955
3900	2117.966703	9.888642469	2251.04554
4000	2037.537632	10.43526363	2209.671135
4100	2026.087603	9.22822665	2199.378937
4200	1981.576096	8.364106879	2172.795525
4300	2037.03723	7.572828705	2205.869926
4400	1968.830128	8.318459767	2170.60183
4500	1634.472731	8.502770139	1973.731529
4600	1635.734884	8.084565364	1964.254677
4700	1560.229763	8.029683973	1930.363808
4800	1490.580816	8.360992089	1873.252968
4900	1459.252653	8.425188856	1855.705837
5000	1446.144358	7.643842212	1858.147762
5100	1577.550395	4.903578067	1940.157677
5200	1793.033824	5.919356196	2068.939316
5300	1386.258043	6.92961877	1808.069046
5400	1498.860857	7.116749189	1859.562748
5500	1420.421167	7.255542576	1823.356125
5600	1302.728458	5.683111827	1748.568993
5700	1330.695222	6.046218149	1778.164436
5800	1406.667044	5.989119303	1832.623253
5900	1407.645642	4.560496785	1835.802578
6000	1577.683848	5.80760083	1943.092697
6100	1609.515299	4.88396848	1957.826118
6200	1566.219705	4.442040267	1935.991974
6300	1715.623969	5.890654006	2010.913689
6400	1800.930177	6.357005424	2059.380219
6500	1781.516315	6.674966298	2034.723953
6600	1785.036353	7.37942316	2044.335388
6700	1960.474563	7.678865226	2146.33062
6800	1866.755275	9.208412235	2105.903152
6900	1745.732767	8.679076634	2011.627163
7000	1778.154019	7.647647143	2041.377377
7100	1627.439539	8.542502155	1970.927914
7200	1459.508889	8.67460044	1869.440918
7300	1231.874371	7.272871231	1717.190331
7400	1122.040015	7.356831263	1638.921997
7500	1141.435462	7.10176796	1649.446724
7600	1122.95354	6.277686898	1636.681198
7700	1119.107061	7.089100834	1635.949219
7800	1242.439112	7.122162513	1725.874268
7900	1241.765015	6.745723625	1722.251194
8000	1307.297815	7.027558191	1767.552231
8100	1197.899668	7.225268191	1695.389645
8200	1154.855584	6.001879802	1660.587727
8300	1092.294663	7.797353698	1617.994976
8400	1223.122731	8.574677798	1713.081078
8500	1415.664516	8.753769527	1843.060314
8600	1480.647488	7.402354228	1880.14677
8700	1435.917087	7.430274717	1841.399529
8800	1415.62639	8.538565113	1825.011116
8900	1259.220926	9.162767142	1719.874504
9000	1278.813956	8.901925544	1743.820847
9100	1280.060791	7.790545608	1749.742851
9200	1231.15919	7.166509345	1715.039627
9300	1179.35729	6.959323718	1667.157597
9400	1283.194752	5.549306157	1754.063324
9500	1072.821013	4.47050315	1593.21553
9600	1142.331653	5.167655354	1647.9594
9700	1106.529517	4.006932197	1620.751114
9800	1240.915151	4.752489756	1715.42543
9900	1408.34814	5.380220575	1817.844971
10000	1458.842197	4.004560133	1845.485977
10100	1205.768384	4.355482884	1677.984386
10200	1202.959106	4.648308296	1673.345776
10300	1195.395947	4.379339708	1667.130306
10400	1196.17392	4.760717102	1674.930485
10500	1221.787042	4.361786273	1699.880028
10600	1309.17306	3.540768616	1768.080467
10700	1230.071556	2.944532467	1713.541649
10800	1136.966638	2.825157598	1644.409039
10900	1161.764281	2.218431571	1657.21307
11000	1013.619162	2.337554843	1544.174408
11100	962.5812057	1.431738245	1516.180683
11200	1067.735864	1.308742022	1583.246891
11300	976.8064353	1.597181017	1525.256218
11400	980.3245399	1.326894404	1529.275936
11500	904.9316881	1.310828017	1469.999907
11600	944.1154781	1.131872158	1502.339619
11700	1033.063026	1.488159788	1571.447369
11800	982.878863	2.081362104	1529.160606
11900	980.7154677	1.461573418	1531.482155
12000	1019.111256	2.406929052	1560.114212
12100	1269.635135	2.464622668	1744.739746
12200	1258.143729	2.665792676	1737.38855
12300	1302.355707	3.26912954	1759.235779
12400	1455.067226	2.774645959	1847.943604
12500	1395.052929	2.087101938	1819.752678
12600	1455.685399	1.252816648	1856.666607
12700	1268.539565	1.047123694	1723.978149
12800	1105.818689	1.242947032	1619.503983
12900	1054.232992	1.714039412	1572.759174
13000	1193.634463	2.018539278	1680.403694
13100	1061.166551	2.241841614	1565.430408
13200	1023.191253	1.744998987	1540.063099
13300	1037.624913	2.033626637	1551.672523
13400	945.5988726	1.805181685	1468.313046
13500	1044.616041	2.090366811	1544.629465
13600	840.4173625	2.056184362	1378.832306
13700	816.5372298	1.262762228	1351.339994
13800	891.9225944	1.197442916	1447.048634
13900	770.7559439	1.380510661	1340.014221
14000	890.9000279	1.242205699	1434.887047
14100	933.4135177	1.670253322	1473.319983
14200	970.6017132	1.438028396	1511.371975
14300	905.9145688	1.033226797	1441.636547
14400	815.4060826	1.369254657	1364.858154
14500	796.9745065	2.749515948	1345.959217
14600	860.2943835	5.328027617	1379.433348
14700	1030.894797	6.149127644	1498.126625
14800	933.237501	5.739296248	1425.027195
14900	909.5807701	5.43890992	1431.955858
15000	1017.430469	7.930663178	1548.619743
15100	967.2868892	8.893855667	1507.616749
15200	834.3042609	10.47482378	1393.793396
15300	807.4000913	8.053839603	1380.39608
15400	791.2929981	9.858779568	1357.196016
15500	605.6449344	8.623819366	1199.215672
15600	566.5141955	7.099504858	1158.463337
15700	589.7749714	7.215337135	1187.601013
15800	704.1224281	7.90335495	1277.883266
15900	696.6679849	8.673663549	1287.86499
16000	649.2534977	9.33833103	1243.717625
16100	710.981649	8.136722509	1289.648396
16200	627.4994673	8.535032999	1191.822044
16300	610.096121	8.710871557	1182.788006
16400	696.5345452	7.522603209	1277.791862
16500	711.7366673	6.356278651	1292.779402
16600	641.9851717	7.515928338	1236.669426
16700	553.081062	6.989748269	1144.007866
16800	702.8272825	7.241885013	1296.567245
16900	575.4768291	6.735681309	1172.561323
17000	703.6929127	7.3376591	1294.672249
17100	703.577436	8.492644437	1271.20031
17200	776.1615245	6.017110778	1347.699257
17300	740.6791311	5.415466038	1321.248184
17400	673.2344326	5.163207197	1259.682663
17500	658.7175599	4.99282945	1250.332636
17600	716.8433059	5.495627738	1288.130604
17700	669.0739995	7.646885117	1229.352623
17800	766.3141618	6.725905199	1315.670673
17900	679.945721	8.355904462	1234.908171
18000	746.4017646	8.410409712	1318.198582
18100	725.3131815	8.483729475	1299.441143
18200	730.7351911	8.072556101	1304.623598
18300	577.2774586	8.790072888	1173.724995
18400	587.4465534	7.851177021	1174.429403
18500	477.9828995	9.447802265	1057.990664
18600	493.8455254	9.0466839	1078.237762
18700	592.5316798	7.515513447	1172.371132
18800	588.1850758	6.640847134	1180.515057
18900	512.0306814	7.245542653	1102.448503
19000	426.326702	9.261891224	1006.363781
19100	342.2503301	7.906027601	904.0553646
19200	407.5405985	8.88137084	976.8834801
19300	393.7469674	7.560372228	954.1648293
19400	390.2775481	8.02532965	965.4187317
19500	435.1087848	7.428253736	1008.957485
19600	436.9256305	7.949169707	982.6024895
19700	399.6963068	8.287372396	970.5551109
19800	399.874019	9.081107669	944.8530273
19900	410.7968	11.78351136	967.2983074
20000	380.3956792	12.35809678	922.929348
20100	443.9216396	13.92188849	1030.133204
20200	398.0486835	14.27929536	961.5154648
20300	452.5360506	13.95592602	1037.868895
20400	361.2345856	15.9844448	924.8285503
20500	340.5832897	14.10662808	903.6162891
20600	349.8597412	15.47452272	867.4351807
20700	360.4251818	14.21119222	892.4362202
20800	422.7833079	15.27167401	926.5646648
20900	491.6457282	18.43966394	1035.08285
21000	529.7073853	17.6266805	1035.359211
21100	547.4000386	15.80798042	999.7782097
21200	539.8793565	17.04337552	960.8590946
21300	530.1476349	18.16802934	1019.492493
21400	564.3959428	18.68924529	1048.157728
21500	508.4232046	17.47105175	1026.234423
21600	517.4889218	21.81539728	1011.303614
21700	549.7820141	23.66376326	1053.615704
21800	494.7856212	23.8057264	1004.43084
21900	416.0417642	23.08259887	953.6288357
22000	307.9781512	22.77854499	787.7410202
22100	235.0497898	22.92902723	699.8741961
22200	374.4088357	23.76253983	864.7360535
22300	301.7966985	23.7978469	810.3321915
22400	237.0036454	21.93299363	702.404067
22500	307.7158659	23.14893941	808.3336411
22600	370.2216662	23.81279776	892.5253811
22700	438.0657907	23.55432126	957.501915
22800	325.001395	22.53528465	845.4491634
22900	431.5321242	25.09855372	974.8848362
23000	381.6442939	26.83571087	938.871769
23100	354.306112	22.99927187	892.3636017
23200	341.0642531	17.9100213	884.7505302
23300	342.5770488	17.3904071	876.8024979
23400	427.0469865	17.93595237	957.6110764
23500	488.0039899	18.96831061	1034.024227
23600	469.4630982	21.15933839	1023.303141
23700	459.631137	22.60290824	977.0197449
23800	317.306786	23.81816605	804.9004784
23900	427.6486138	24.87785147	921.6284771
24000	443.4779205	25.06441058	930.7233582
24100	444.0110347	26.23051119	916.5871468
24200	386.7186467	27.00208124	872.1781864
24300	438.012126	31.32862962	938.8958817
24400	365.5992676	29.42436738	845.0146675
24500	312.3919876	30.22139394	776.879837
24600	361.6646586	26.37115764	839.0921021
24700	260.563669	24.94344017	744.3928785
